song_name,artist_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_percent,valence_percent,energy_percent,acousticness_percent,instrumentalness_percent,liveness_percent,speechiness_percent,released_date
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,553,147,141381703,43,263,45,10,826,125,B,Major,80.00,89.00,83.00,31.00,0.00,8.00,4.00,2023-7-14
LALA,Myke Towers,1,1474,48,133716286,48,126,58,14,382,92,C#,Major,71.00,61.00,74.00,7.00,0.00,10.00,4.00,2023-3-23
vampire,Olivia Rodrigo,1,1397,113,140003974,94,207,91,14,949,138,F,Major,51.00,32.00,53.00,17.00,0.00,31.00,6.00,2023-6-30
Cruel Summer,Taylor Swift,1,7858,100,800840817,116,207,125,12,548,170,A,Major,55.00,58.00,72.00,11.00,0.00,11.00,15.00,2019-8-23
WHERE SHE GOES,Bad Bunny,1,3133,50,303236322,84,133,87,15,425,144,A,Minor,65.00,23.00,80.00,14.00,63.00,11.00,6.00,2023-5-18
Sprinter,"Dave, Central Cee",2,2186,91,183706234,67,213,88,17,946,141,C#,Major,92.00,66.00,58.00,19.00,0.00,8.00,24.00,2023-6-1
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,3090,50,725980112,34,222,43,13,418,148,F,Minor,67.00,83.00,76.00,48.00,0.00,8.00,3.00,2023-3-16
Columbia,Quevedo,1,714,43,58149378,25,89,30,13,194,100,F,Major,67.00,26.00,71.00,37.00,0.00,11.00,4.00,2023-7-7
fukumean,Gunna,1,1096,83,95217315,60,210,48,11,953,130,C#,Minor,85.00,22.00,62.00,12.00,0.00,28.00,9.00,2023-5-15
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2953,44,553634067,49,110,66,13,339,170,D,Minor,81.00,56.00,48.00,21.00,0.00,8.00,33.00,2023-3-17
un x100to,"Bad Bunny, Grupo Frontera",2,2876,40,505671438,41,205,54,12,251,83,F#,Minor,57.00,56.00,72.00,23.00,0.00,27.00,5.00,2023-4-17
Super Shy,NewJeans,1,422,55,58255150,37,202,21,5,168,150,F,Minor,78.00,52.00,82.00,18.00,0.00,15.00,7.00,2023-7-7
Flowers,Miley Cyrus,1,12211,115,1316855716,300,215,745,58,"1,021",118,"",Major,71.00,65.00,68.00,6.00,0.00,3.00,7.00,2023-1-12
Daylight,David Kushner,1,3528,98,387570742,80,156,182,24,"1,281",130,D,Minor,51.00,32.00,43.00,83.00,0.00,9.00,3.00,2023-4-14
As It Was,Harry Styles,1,23575,130,2513188493,403,198,863,46,"",174,F#,Minor,52.00,66.00,73.00,34.00,0.00,31.00,6.00,2022-3-31
Kill Bill,SZA,1,8109,77,1163093654,183,162,161,12,187,89,G#,Major,64.00,43.00,73.00,5.00,17.00,16.00,4.00,2022-12-8
Cupid - Twin Ver.,Fifty Fifty,1,2942,77,496795686,91,212,78,6,0,120,B,Minor,78.00,76.00,59.00,43.00,0.00,34.00,3.00,2023-2-24
"What Was I Made For? [From The Motion Picture ""Bar",Billie Eilish,1,873,104,30546883,80,227,95,24,"1,173",78,"",Major,44.00,14.00,9.00,96.00,0.00,10.00,3.00,2023-7-13
Classy 101,"Feid, Young Miko",2,2610,40,335222234,43,100,54,14,187,100,B,Major,86.00,67.00,66.00,14.00,0.00,12.00,16.00,2023-3-31
Like Crazy,Jimin,1,596,68,363369738,8,104,23,2,29,120,G,Major,63.00,36.00,73.00,0.00,0.00,36.00,4.00,2023-3-24
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,332,26,86444842,11,163,10,4,0,140,F,Minor,65.00,87.00,74.00,22.00,0.00,42.00,4.00,2023-6-22
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The,Taylor Swift,1,516,38,52135248,73,119,42,1,150,123,F#,Major,69.00,82.00,76.00,6.00,0.00,6.00,3.00,2023-7-7
I Wanna Be Yours,Arctic Monkeys,1,12859,110,1297026226,24,98,582,2,73,135,"",Minor,48.00,44.00,42.00,12.00,2.00,11.00,3.00,2013-1-1
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,1313,40,200647221,17,152,32,11,139,133,F,Minor,85.00,81.00,67.00,26.00,0.00,12.00,5.00,2023-5-31
Popular (with Playboi Carti & Madonna) - The Idol ,"The Weeknd, Madonna, Playboi Carti",3,1945,87,115364561,74,182,87,14,"1,093",99,C#,Major,85.00,83.00,68.00,7.00,0.00,36.00,20.00,2023-6-2
SABOR FRESA,Fuerza Regida,1,250,26,78300654,16,149,10,5,168,130,G,Minor,79.00,96.00,86.00,9.00,0.00,9.00,9.00,2023-6-22
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2,7112,77,899183384,202,119,318,38,96,107,B,Major,80.00,82.00,80.00,43.00,0.00,14.00,4.00,2022-3-25
MOJABI GHOST,"Tainy, Bad Bunny",2,859,40,61245289,35,109,41,14,211,122,F#,Minor,81.00,74.00,71.00,14.00,0.00,56.00,4.00,2023-6-29
Last Night,Morgan Wallen,1,2420,19,429829812,52,107,15,1,325,204,F#,Major,52.00,52.00,68.00,46.00,0.00,15.00,4.00,2023-1-31
